自动钓鱼 (跳过钓鱼小游戏，直接完美钓鱼！甚至鱼王都)
邮寄礼物 (你可以打开礼物赠送菜单邮寄礼物，你可以看)
农场动物-动物娘化 (将所有牲畜的模型进行改变，变为动物娘添加)
女农民大修 (彻底的女农夫大修！新的和编辑的衬衫、裤子)
朱丽叶和杰西 (添加了朱丽叶和杰西两个npc到游戏中，朱)
菲利克斯·阿盖尔替换哈维 (该模组用《Re：从零开始的异世界生活》中)
冲浪节 (在夏季添加了一个新的节日注意事项:注意：)
可见梯子 (此内容包为山谷矿山、骷髅洞穴和采石场矿山)
宠物跟随 (你的宠物可以几乎跟你去任何室外场景，如果)
罗宾卖机器 (该模组给罗宾的商店增加了很多机器，因为她)
快速保存 (在正午时保存你的游戏。按F5键快速保存，)
三丽鸥毛绒玩具 (该模组在游戏中增加20个三丽鸥毛绒玩具。)
显示玩家状态信息 (在屏幕上永久显示生命值和体力注意！！ 此)
自动开门 (自动打开和关闭门。注意！！ 此mod与其)
聚宝盆 - 更多农作物 (为游戏添加更多农作物、灌木和树木。完全可)
工业熔炉 (添加了一个工业熔炉到游戏中，放入矿石和至)
快速旅行 (可以通过雕像（传送图腾的雕像）快速旅行到)
地图事件标记 (这个mod将放置一个'？在地图上的标记，)
箱子显示 (显示你箱子里的第一个物品注意！！ 此mo)
商店出售服装 (您现在可以去商店为您的农民购买新衣服（衬)
亚历克斯对话扩展 (厌倦了阿比盖尔年复一年的获胜？现在其他角)
高清图形去像素化和过滤器 (该模组用清晰的眼镜升级你的视觉效果!使用)
更加昂贵的宝石和矿物 (使游戏中的宝石和矿物更加昂贵。注意事项:)
落雪的舞会服饰 (在游戏中添加了几件充满了舞会风格的精美连)
建造更多酒窖 (建立自己的户外酒窖，喜欢的快试试。注意事)
马匹大量皮肤 (为您的马匹添加 79 种皮肤选择！- 提)
写实路径 (对路径的外观进行了优化注意事项:注意：此)
额外的戒指汉化版 (在游戏中增加了几个戒指，可以提高技能水平)
姜岛海滨别墅 (该模组将游戏中的姜岛农舍内部替换为海滨别)
游戏室和托儿所家具 (这个mod包含22件家具，你可以用它来装)
额外的书籍 (添加更多可以从书商和其他不同地方获得的书)
魔法银河和无限武器 (让银河和无限武器从矿井中的板条箱中掉落，)
花草 (优化了草的外观，现在草丛里会有花，且会随)
无限喷壶 (喷壶中的无限水注意事项:注意：此MOD可)
精力充沛的可制作品 (对可知作品的重新着色，使它们看起来更有活)
动物保姆汉化版 (使用之后就能请人帮忙照顾你的农场动物，支)
穿越物体 (npc不再会在走路的时候踹掉箱子或者别的)
UI Info Suite 2 (显示各种信息)
更好的蜂舍 (蜂房可以在冬天和室内产蜜注意事项:注意：)
华丽工具 (这个模组对工具进行了纹理调整和重新着色，)
熊猫 (用毛茸茸的熊猫代替了你的黄猫。注意！！ )
仙女变为天使 (用仙女盒小饰品召唤的仙女重新纹理到一个可)
快速生长的树木 (每天添加一个用户可配置的机会，使所有树木)
物品包 (增加了几个新的“袋子”物品，可以容纳其他)
中餐 (新增34道菜谱，全新中国美食！注意！！ )
田间收获 (允许您在收割作物图块时按住修改键来收割整)
对抗乌鸦的宠物 (随着宠物好感的增长，减少乌鸦出现在农场的)
泰拉瑞亚武器 (添加了一些来自泰拉瑞亚的武器新增泰拉之刃)
化妆镜和衣橱 (必须安装的前置依赖：SMAPI（前置依赖)
塞巴斯蒂安 全新事件 (增加超过 450 行对话，覆盖所有他原版)
海莉的面包店 (和海莉结婚后在镇上开了一家小面包店。你可)
动态食物 (为食物和饮品添加了动态效果，比原来更诱人)
中国传统服饰 (深衣中的曲裾类（红萼无言、水佩风裳、月上)
仙女花园家具 (这个mod增加了100个美丽的户外物品()
怪物血量显示 (该模组会将怪物的血量显示在你的屏幕上，。)
原神宝宝 (此mod使你的宝宝变成原神角色注意！！ )
艾米丽的黛西皮肤 (此mod为艾米丽准备了黛西的皮肤注意！！)
配偶房装修 (现在您可以自由配置您配偶的房间装饰，配偶)
洛离的上衣与裙子38 (十套服装)
拾荒者职业 (新增了一个拾荒者的技能职业，已汉化注意事)
动态日光效果 (为太阳光添加了动态效果，日照时间会随着季)
活泼的餐桌装饰 (将游戏中的餐桌变得更可爱，色彩变得更温和)
薄荷心床 (用粉红色的薄荷心床材质替换双人床！注意！)
sve扩展动态效果鱼类 (为sve扩展的鱼类添加了可爱的动态效果，)
社区的一份子 (增加了友谊的增加方式：和村民交谈时，在他)
优雅的作物 (该模组对农作物进行重新上色，使其变得更为)
柏拉图式的关系 (允许你不用和每个可约会的NPC约会就能和)
季节性特殊订单板重纹理 (修改了特殊订单的外观，其现在会随着季节性)
凯蒂的衣橱 (该模组增加16件衬衫，8件裙子，8件短裤)
格兰普尔 (格兰普尔是星露谷物语扩展的额外模组，增加)
钓鱼轻松套件 (这个mod提供了一个数组选项来定制您的钓)
鹈鹕邮政服务 (在任何地方向NPC发送礼物和任务物品。注)
npc头像绘制 (对npc的头像进行了重新绘制，喜欢的朋友)
更多矿石节点 (该模组增加了矿坑和骷髅洞的矿石节点数量。)
美少女战士稻草人 (此模组用美少女战士替换了稻草人和雕像注意)
永久的鱼饵 (该模组添加了永久的鱼饵 一旦满足某些条件)
三丽鸥毛绒玩具 (该模组使用替代纹理将小朱尼莫毛绒玩具和装)
粉红洛丽塔 (该模组使游戏的界面变成粉红色，更加的可爱)
不一样的马 (将默认马替换为新的、更高更可爱的马。所有)
更好的建筑升级 (为星露谷增加了多个定制的建筑升级，可以通)
星露角汉化中文 ()
运气技能 (新增运气技能基于每日运气水平，找到宝石，)
粉色小屋 (该模组编辑了一个可爱的小岛屋，以配合旁边)
乔家快递 (此mod允许玩家网上购物，只需要买一个乔)
更加巨大的棚屋 (此模组添加了巨大的棚屋替换原版屋子。兼容)
传送法杖 (让你的归来权杖更加物有所值。在你的农场建)
猎人风格家具 (修改了原版家具的外观，新的外观更像猎人小)
（FS）发型包 (FS模式的头发模组，为游戏新绘制了13种)
（FS）高清服装包三 (本模组包含24套高清服装，需要前置Fas)
独角兽 (你可以欢迎6只彩色的独角兽到你的谷仓。他)
自定义对话框 (用于自定义有关 NPC 对话框的几乎所有)
猫咪大量新皮肤 (最多有 155 种猫品种/皮肤可供选择！)
姜岛建筑优化 (重新设计岛屿建筑，使其看起来更舒适。注意)
自动抓取松露 (允许谷仓自动抓取器收集松露。注意！！ 此)
星露谷进展 (在整个游戏中跟踪玩家的进展，以帮助玩家达)
戒指外观修改 (优化了戒指的外观，比原来更好看注意事项:)
舒适后院 (为您的农舍添加了一个舒适的后院，农舍每次)
更丰富的农场洞穴 (此模组为农场东西添加更丰富的细节。注意！)
粉嫩建筑 (为农场建筑添加了粉嫩的外观注意事项:注意)
沉浸式稻草人 (现实生活中稻草人不应该占用庄稼的土地，所)
较小的树 (让每棵树都变小，这样它们就不会挡住你的视)
糖果色连衣裙 (糖果色连衣裙含：25件头饰，25件上衣，)
被动统计再生 (这个模组会增加耐力和健康被动再生通过玩家)
UI 信息套件 (提供关于你周围事物的有用信息，旨在帮助你)
阿比盖尔-随机对话扩展 (该模组增加了阿比盖尔的700个新的随机对)
意大利乡村建筑 (该模组用季节性意大利风格的乡村建筑取代初)
鼠标钓鱼 (该模组允许你在钓鱼小游戏中使用鼠标光标来)
糖果谷冬季风格农场建筑 (没有季节变化的冬季风格糖果谷农场建筑。A)
钓鱼系统优化 (提供钓鱼UI界面，显示上钩几率和宝箱获得)
祝尼魔自动化 (在7号之后的第一场雨之后，当你醒来时，你)
新增大量酒精饮料 (酒精模组。添加 20 种酒精饮料和一些额)
马匹大修 (对马匹系统进行了调整。新的小马比原来更瘦)
红色熊猫集市 (这是一款为《星露谷物语》添加的新扩展模组)
更好的矿石熔炉 (更好的矿石熔炉mod这个模组增加了一个新)
战斗调整 (可以对战斗难度进行调整，兼容1.6+游戏)
季节性邮箱 (现在邮箱的外观会随着季节的变化而变化。注)
可爱的厨房 (对厨房进行了重新着色注意事项:注意：此M)
猫咪外观替换 (替换了第一只和第二只猫咪的外观注意事项:)
季节性出货箱 (对出货箱和小型出货箱的外观进行了优化，并)
大耳狗家具 (该模组添加了包括30件肉桂狗主题家具(其)
温室洒水器系统 (为你的温室新增洒水器系统，每日自动浇水温)
可爱眼妆和睫毛妆容 (该模组添加了6种眼妆和4种与之搭配的睫毛)
棉花糖地图重新着色 (新增如棉花糖般粉嫩的地图着色注意！！ 此)
特别的温室 (一个更大的温室。注意！！ 此mod与其他)
铱镰刀收获更多 (铱镰刀不仅能收获作物，还能用于收获其他产)
皮埃尔啥都卖 (完成皮埃尔的特别委托后，皮埃尔将打开他的)
儿童活动扩展（全版本兼容） (35个新事件和超过340个额外的NPC对)
joja黑市 (社区中心已经恢复，但 Joja 货物仍在)
女巫阿莱克托 (增加了法师的前妻-女巫的剧情，一个脾气有)
瀑布农场 (添加了一个带有瀑布的农场到游戏中，所有的)
独特的工匠制品图标 (对不同原料的果酒和罐头的工艺品图标进行了)
肖像随好感变化 (肖像随好感变的越来越性感注意！！ 此mo)
更多的农作物、水果和饲料 (该模组添加21种新的浆果，84种新的水果)
星露谷地产 (这个模组，它增加了购买额外农田地块的功能)
强力晶球破开器 (强化了晶球破开器，可以破开任何晶球，神秘)
显示松露位置的气泡 (猪可以在高草丛中挖松露，并显示气泡以指示)
城市生活 (原版的游戏难度太低了，哪怕是天天睡觉都不)
可爱的宠物 (您的宠物会跟随您穿过城镇并与您玩耍。)
独特的儿童 (在这个模组中，所有参与多人游戏的玩家，根)
额外对话 (此mod添加少量随机对话，后续可能有新增)
日料店家具 (新增了日式风格的日料店家具，喜欢的快试试)
魔法谷(光标) (魔法谷主题中光标的mod文件。注意！！ )
强力果树 (对果树进行了多方面调整，现在果树不会因为)
柠檬茶店 (新增一个解渴的商店，柠檬茶店。柠檬水和茶)
室内温泉 (将澡堂的外观和内饰替换成室内温泉注意事项)
建筑重新着色 (为建筑重新上了色注意事项:注意：此MOD)
植物爱好者家具 (该模组增加了75件新的植物填充家具，并5)
农舍厨房 (该模组将厨房的纹理进行重新设计，装修为农)
收获的日历 (一个简单的mod，计算什么时候可以收获你)
开局就解锁温室 (在解锁温室的情况下开始游戏。注意事项:注)
三层的地窖 (一个原始大小的地窖，把它改造成了三层楼。)
免费书籍 (在皮埃尔那可以带上您的免费书籍，现在书籍)
轻松战斗套件（全版本兼容） (这个mod提供了一个数组选项来定制您的战)
幽咪的可爱高清头饰 (在游戏中添加了一些非常可爱的女生高清头部)
花舞节服装 (在进入花舞节场地时自动为你穿上花舞节专属)
猫咪礼物 (猫咪会在家门口随即留下一份礼物，狗狗会在)
游戏后期鱼类重新平衡 (该模组改变了普通鱼和传奇鱼的价格。它应该)
鼠标移动模式 (可通过点击或按住鼠标移动增强鼠标功能，让)
小黑修改 (此mod对小黑的立绘做了修改注意！！ 此)
狗狗大量新皮肤 (添加多达 303 种犬种/皮肤供您选择！)
鸡舍动物新皮肤 (为您的鸡舍动物添加一堆皮肤！- 使用新的)
猫爪光标 (该模组将游戏内光标更改为小猫主题（猫爪的)
